year_month,avg_review_score
2016-10,4.055865921787709
2016-11,3.1881188118811883
2016-12,2.3555555555555556
2017-01,4.338912133891213
2017-02,4.2809624911535735
2017-03,4.033051189036679
2017-04,4.03698296836983
2017-05,4.100539083557951
2017-06,4.127616279069767
2017-07,4.183271481587211
2017-08,4.224961137019765
2017-09,4.182424386758752
2017-10,4.182188065099457
2017-11,4.114918512327622
2017-12,3.9315960912052117
2018-01,4.063602524680369
2018-02,4.014259957384035
2018-03,3.727412533640907
2018-04,3.9198572800878275
2018-05,4.193081255028158
2018-06,4.197170513775131
2018-07,4.288249911253106
2018-08,4.209747412929787
