year_month,avg_delivery_days
2016-09,54.0
2016-10,19.11111111111111
2016-12,4.0
2017-01,12.092
2017-02,12.60617059891107
2017-03,12.395522388059701
2017-04,14.35258358662614
2017-05,10.760507757404795
2017-06,11.50622009569378
2017-07,11.131198347107437
2017-08,10.700691628905318
2017-09,11.400722891566264
2017-10,11.416927199642698
2017-11,14.699506037321624
2017-12,14.936695084346091
2018-01,13.6372895741972
2018-02,16.510677242220865
2018-03,15.867485363415678
2018-04,11.048543689320388
2018-05,10.959105052600385
2018-06,8.774442257217848
2018-07,8.503736192332683
2018-08,7.286411588726184
